region,asset,listed,name,symbol,update_dttm,last_page,summary,sector,industry,forum
KR,Equity,KOSPI,동화약품,A000020,,,"{'company': ['동화약품'], 'details': ['메디쎄이', '동화크립톤', '까스활명수', '후시딘', '판콜', '잇치', 'ILIAD', 'ZENIUS', '라코르', '맥페란', '록소닌'], 'execs': ['유준하']}",,,
KR,Equity,KOSPI,KR모터스,A000040,,,"{'company': ['KR모터스'], 'details': ['EURO5'], 'execs': ['노성석']}",,,
KR,Equity,KOSPI,경방,A000050,,,"{'company': ['경방'], 'details': ['경방베트남'], 'execs': ['김담']}",,,
KR,Equity,KOSPI,메리츠화재,A000060,,,"{'company': ['메리츠화재'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,삼양홀딩스,A000070,,,"{'company': ['삼양홀딩스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,하이트진로,A000080,,,"{'company': ['하이트진로'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,유한양행,A000100,,,"{'company': ['유한양행'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,CJ대한통운,A000120,,,"{'company': ['CJ대한통운'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,하이트진로홀딩스,A000140,,,"{'company': ['하이트진로홀딩스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,두산,A000150,,,"{'company': ['두산'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,성창기업지주,A000180,,,"{'company': ['성창기업지주'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,DL,A000210,,,"{'company': ['DL'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,유유제약,A000220,,,"{'company': ['유유제약'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,일동홀딩스,A000230,,,"{'company': ['일동홀딩스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,한국앤컴퍼니,A000240,,,"{'company': ['한국앤컴퍼니'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,삼천당제약,A000250,,,"{'company': ['삼천당제약'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,기아,A000270,20210405 083007,,"{'company': ['기아'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,대유플러스,A000300,,,"{'company': ['대유플러스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,노루홀딩스,A000320,,,"{'company': ['노루홀딩스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,한화손해보험,A000370,,,"{'company': ['한화손해보험'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,삼화페인트,A000390,,,"{'company': ['삼화페인트'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,롯데손해보험,A000400,,,"{'company': ['롯데손해보험'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,대원강업,A000430,,,"{'company': ['대원강업'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,중앙에너비스,A000440,,,"{'company': ['중앙에너비스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,조선내화,A000480,,,"{'company': ['조선내화'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,대동,A000490,20220615 082547,,"{'company': ['대동'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,가온전선,A000500,,,"{'company': ['가온전선'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,삼일제약,A000520,,,"{'company': ['삼일제약'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,흥국화재,A000540,,,"{'company': ['흥국화재'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,CS홀딩스,A000590,,,"{'company': ['CS홀딩스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,동아쏘시오홀딩스,A000640,,,"{'company': ['동아쏘시오홀딩스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,천일고속,A000650,,,"{'company': ['천일고속'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,SK하이닉스,A000660,,,"{'company': ['SK하이닉스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,영풍,A000670,,,"{'company': ['영풍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,LS네트웍스,A000680,,,"{'company': ['LS네트웍스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,유수홀딩스,A000700,,,"{'company': ['유수홀딩스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,현대건설,A000720,,,"{'company': ['현대건설'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,이화산업,A000760,,,"{'company': ['이화산업'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,삼성화재,A000810,,,"{'company': ['삼성화재'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,화천기공,A000850,,,"{'company': ['화천기공'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,강남제비스코,A000860,,,"{'company': ['강남제비스코'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,한화,A000880,,,"{'company': ['한화'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,보해양조,A000890,,,"{'company': ['보해양조'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,유니온,A000910,,,"{'company': ['유니온'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,전방,A000950,,,"{'company': ['전방'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,한국주철관,A000970,,,"{'company': ['한국주철관'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,DB하이텍,A000990,,,"{'company': ['DB하이텍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,신라섬유,A001000,,,"{'company': ['신라섬유'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,페이퍼코리아,A001020,,,"{'company': ['페이퍼코리아'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,CJ,A001040,,,"{'company': ['CJ'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,JW중외제약,A001060,,,"{'company': ['JW중외제약'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,대한방직,A001070,,,"{'company': ['대한방직'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,만호제강,A001080,,,"{'company': ['만호제강'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,LX인터내셔널,A001120,20220615 082547,,"{'company': ['LX인터내셔널'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,대한제분,A001130,,,"{'company': ['대한제분'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,국보,A001140,,,"{'company': ['국보'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,유진투자증권,A001200,,,"{'company': ['유진투자증권'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,금호전기,A001210,,,"{'company': ['금호전기'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,동국제강,A001230,,,"{'company': ['동국제강'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,GS글로벌,A001250,,,"{'company': ['GS글로벌'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,남광토건,A001260,,,"{'company': ['남광토건'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,부국증권,A001270,,,"{'company': ['부국증권'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,상상인증권,A001290,,,"{'company': ['상상인증권'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,백광산업,A001340,,,"{'company': ['백광산업'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,삼성제약,A001360,,,"{'company': ['삼성제약'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,SG글로벌,A001380,20210415 083007,,"{'company': ['SG글로벌'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,KG케미칼,A001390,,,"{'company': ['KG케미칼'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,태원물산,A001420,,,"{'company': ['태원물산'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,세아베스틸지주,A001430,20220615 082547,,"{'company': ['세아베스틸지주'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,대한전선,A001440,,,"{'company': ['대한전선'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,현대해상,A001450,,,"{'company': ['현대해상'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,BYC,A001460,,,"{'company': ['BYC'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,삼부토건,A001470,,,"{'company': ['삼부토건'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,현대차증권,A001500,,,"{'company': ['현대차증권'], 'details': [], 'execs': []}",,,
